Symbol	GSM452235	GSM452236	GSM452237	GSM452238	GSM452239	GSM452240	GSM452241	GSM452242	GSM452243	GSM452246	GSM452247	GSM452248	GSM452250	GSM452251	GSM452252	GSM452253	GSM452254	GSM452255	GSM452256	GSM452257	GSM452258	GSM452259	GSM452260
DDR1	90.2452	125.159	65.5967	141.307	80.3915	119.629	37.1705	65.607	81.0856	117.148	54.8547	89.073	111.522	80.9803	69.8222	117.791	125.045	103.521	122.686	102.367	96.2924	76.6819	132.355
RFC2	123.521	171.698	90.8221	65.3982	174.552	88.2573	122.317	116.492	107.154	126.323	221.464	148.477	177.451	185.307	195.533	111.396	61.7181	124.872	27.0646	55.6803	167.017	181.663	140.454
HSPA6	227.106	317.271	128.515	173.551	96.9762	233.13	143.311	44.344	62.9026	50.7895	51.903	99.0174	109.743	63.4531	43.4675	112.073	17.3408	69.2796	50.4593	85.2077	25.267	129.371	122.115
PAX8	174.449	210.059	208.923	253.48	172.887	230.918	179.709	156.852	159.42	178.349	153.068	211.692	133.44	194.236	150.672	262.435	179.097	116.311	342.175	221.765	138.79	150.594	215.487
GUCA1A	3.63765	8.05023	1.54886	12.5781	3.06097	5.97655	8.79069	3.9314	8.80106	6.81102	1.03807	4.82267	4.91714	21.1459	1.92815	5.55132	1.95015	14.2915	4.18077	5.20857	2.32514	7.75065	12.2626
UBA7	953.602	1569.99	1071.73	1352.95	587.793	865.962	712.619	553.259	398.595	715.691	586.108	942.473	819.149	455.964	521.21	778.126	829.988	885.009	736.617	577.219	1205.51	587.494	1454.6
THRA	38.2721	40.5391	44.2888	39.0964	45.9006	34.7429	43.8688	38.3575	36.3736	52.7797	30.2822	55.018	46.9257	52.0624	39.4586	36.4069	44.6763	32.3963	101.679	73.313	40.5543	44.3945	27.2084
PTPN21	3.56015	2.53123	3.66973	1.36039	4.63356	2.04734	2.09745	10.6541	3.05748	3.48157	2.83949	1.66945	4.00157	3.66709	2.07825	2.37313	4.77204	1.10134	5.55874	5.48478	14.9543	4.24471	1.56774
CCL5	1213.78	4014.06	6349.07	2660.88	10110.8	2680.2	2291.29	5066.12	3621.19	2135.93	3076.02	3218.71	1917.76	5803.13	3898.79	2586.54	5707.69	3428.79	7990.24	5877.51	9310.44	4148.59	7719.41
CYP2E1	14.3372	20.8044	17.9385	5.9377	8.54866	18.4163	12.1123	1.66589	15.5508	15.5596	11.7146	15.5747	5.63858	15.02	6.89411	14.7942	33.9892	8.98142	35.6136	15.5633	16.6935	16.7605	4.9415
EPHB3	7.89142	25.4869	2.20183	3.32072	11.6705	16.634	3.6387	3.75396	10.8609	8.40702	3.59074	25.6252	2.19168	14.1923	14.328	16.4939	6.31775	3.37629	20.5974	7.28542	14.5466	4.65595	6.74987
ESRRA	137.155	237.05	125.537	250.505	161.309	245.346	149.031	161.463	117.943	154.039	181.313	190.306	181.158	139.281	168.538	164.608	161.301	199.045	381.184	147.882	174.279	201.484	178.804
CYP2A6	46.0263	44.9925	37.7317	44.8675	65.4583	70.5631	77.2755	52.0387	53.6211	63.5126	69.6563	58.5131	71.6592	58.4784	45.5182	57.6121	56.1471	47.4497	47.8678	71.1469	79.407	54.5124	68.4134
SCARB1	77.5546	101.388	52.5448	137.861	129.62	138.187	102.22	138.707	70.4618	114.214	121.291	139.633	111.096	113.066	87.0506	84.7642	146.136	92.3948	223.705	80.969	112.184	129.559	111.531
TTLL12	234.734	338.225	180.49	350.818	411.608	230.531	308.13	470.534	322.463	297.254	291.829	322.553	253.335	216.33	357.309	271.173	186.948	293.463	420.566	232.33	337.825	180.862	227.592
WFDC2	5.37555	6.10366	18.451	24.9168	3.81624	11.6348	3.98124	19.2606	3.8501	2.66221	8.98819	3.72997	7.70428	6.40675	20.2457	13.7003	10.9169	13.0635	42.7397	3.89513	13.3491	17.2227	21.4214
MAPK1	341.954	695.168	475.01	622.191	739.006	394.765	320.544	482.463	338.352	313.526	313.755	420.644	379.936	261.274	321.535	350.479	312.553	378.49	766.069	193.11	805.577	639.81	817.465
ADAM32	13.7395	5.71277	13.0651	4.62718	21.3716	10.1442	2.8259	18.3072	1.89567	16.8795	9.05138	11.3061	2.76642	5.10945	3.54212	11.8	25.1519	7.44435	17.4748	21.8009	7.15444	20.3954	12.385
SPATA17	12.6365	3.05503	5.6194	2.35982	0.952513	2.639	12.8787	3.14163	5.75895	15.7447	2.16556	0.889195	3.09436	9.49126	1.21301	3.52194	3.24607	4.11457	9.3583	2.03974	4.66196	2.74214	1.77302
PRR22	6.51092	12.8295	2.74259	8.41445	14.3129	5.7411	33.1292	8.75938	8.48169	7.25355	5.3456	8.53744	10.8389	9.35075	11.3697	7.16756	8.922	9.88851	20.7964	5.05579	7.44551	6.59087	7.86865
