Symbol	GSM620832	GSM620833	GSM620834	GSM620835	GSM620836	GSM620837	GSM620838	GSM620839	GSM620840	GSM620841	GSM620842	GSM620843	GSM620844	GSM620845	GSM620846	GSM620847	GSM620848	GSM620849	GSM620850	GSM620851	GSM620852	GSM620853	GSM620854	GSM620855	GSM620856	GSM620857	GSM620858	GSM620859	GSM620860	GSM620861	GSM620862	GSM620863	GSM620864	GSM620865	GSM620866	GSM620867	GSM620868	GSM620869
A1BG	-0.076	0.22	0.158	0.226	0.277	-0.081	0.104	-0.298	0.0065	-0.452	0	0	0.479	0.328	-0.4005	0.1225	0	-0.041	-0.453	-0.1285	0.025	-0.029	0	0.17	0.27	-0.058	0	-0.2845	-0.032	0	0.025	-0.4355	0.202	-0.184	-0.019	-0.2865	-0.053	-0.283
A4GNT	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0.773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	-0.111	0	-0.137	-0.159	0	-0.356	-0.581	0.054	0.203	0.428	0	-0.15	0	0	-0.061	-0.405	0.315	0	0.187	0	-0.17	0.221	0	-0.02	0.08	0	0	-0.139	-0.457	0.125	0	0	0	0.161	0	0	0	-0.116
AAK1	0	0	0	0	0.136	0	0	0	0	0.754	0	0	0	0	0	0	0	0	0	0	0	-0.2595	0	0	0	0	0	0	0	0	1.025	0	0	0	0	0	0.9035	0
AARSD1	-0.131	-0.065	-0.037	0	0.282	0	0.209	0.574	0.673	0	0	0	0	0.403	0.949	0	0.515	0	0.817	0	0.58	1.011	0	0.54	0.74	0.227	0.686	0	0.683	0.645	0.88	0.209	1.057	0.441	0.361	0	0	0.154
AASDHPPT	-0.1155	-0.26	-0.512	-0.314	-1.463	0	-0.131	-1.431	-0.817	-0.236	-0.1445	0.44	0.489	0.1515	-0.996	-0.565	-1.74	-0.168	-0.7015	0	-0.39	-0.9995	-0.828	-1.605	-0.13	-0.603	-0.329	-1.499	-1.102	-1.15	-0.035	-0.021	-1.193	-0.509	0.026	0	0.3235	0.289
AATF	0	0	0	0	0.432	0.914	0.419	0.834	0.573	0.218	0.651	-0.55	0.428	0.873	0.629	0	0.865	0.464	0.667	0.703	0	0.631	0.162	0	0	0	0.726	0.641	0	0.635	0.68	-0.091	0.997	0.551	-0.049	-0.153	0	0
ABAT	1.179	0.0925	0.703	1.021	0.612	0.377	0.314	0	-0.4235	-0.907	-0.0995	0	0	0.5365	0	-0.4175	-0.0225	0.499	-0.9215	0	-0.325	-0.554	0	0.085	-0.21	-0.2415	-0.054	-0.3995	-0.097	0	-0.09	-0.4955	-0.4015	-0.369	-0.069	0	-0.713	-0.723
ABHD1	0	0	0	0.641	0.142	0.074	0.049	0	0	0.188	0	0	0	0	0	0	0	0	0.647	0	0.39	0.431	0	0	1.24	0	0	0	0.333	0	-0.26	0	0	0	-0.199	0	0	0
ABHD11	0	0.675	0.503	0.701	0.842	0	0.069	0	1.033	0.428	0.591	0	0	0	0	1.175	0	0.664	0.717	0	0.49	0.721	0	0.32	0.81	0.797	0	0	1.223	0.735	0.5	0.079	0.507	0.491	0.011	0	0.687	0
ABHD14A	0.499	1.175	0.923	0.971	1.182	1.894	1.429	1.514	1.443	1.568	1.341	1	1.408	1.373	1.389	1.645	1.205	1.624	1.637	1.523	1.26	1.821	1.072	1.45	1.29	1.097	1.546	1.181	1.483	1.355	1.69	1.169	0	1.621	1.541	1.287	1.567	1.024
ABHD14B	0.404	1.175	0.3365	0.796	1.212	0.322	0.884	1.289	1.488	0.384	0.5605	0.47	0.829	0.6315	1.049	1.08	1.47	0.362	0.4585	1.0315	0.255	0.721	0	0.23	0.235	0.1735	1.121	0.996	1.198	2.18	0.18	0.3045	1.132	0.811	0.781	0.757	0.0135	0.067
ABHD8	0	0	0	0	-0.048	0	0	0	0	0	0	0	0	0.233	0	0	0	0	0.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	0	0	0	0	0	0	0	0.504	0	0	0	0	0	0	0	0.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.291	0	0	0	0
ABLIM1	0	0	0	0	0	0.084	0.159	0	0	0	0	0	0	0.123	0	-0.155	0	0.054	0	0	0.33	-0.139	0	-0.48	-0.28	0	0	0	0	0	0	0	0	-0.109	0.671	0	-0.723	-0.486
ACHE	0	0	0	0	-0.028	0	-0.521	0	0	0	0	0	0	-0.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.43	0	0	0	-0.379	0	-0.463	0
ACIN1	0.189	-0.085	0.303	0.061	0.242	0.054	0.149	0.134	0.133	-0.142	-0.269	-0.37	0.618	0.133	-0.111	-0.225	0.555	-0.496	-0.013	0.373	0.1	0.021	-0.108	0.2	-0.06	-0.303	-0.454	0.041	-0.107	0.805	0.01	-0.441	0.477	-0.089	-0.049	-0.103	-0.633	-0.516
ACLY	-0.131	-0.435	-0.147	-0.309	-0.928	-0.316	-0.241	0	-0.177	-0.422	-0.249	0	-0.712	-0.437	-0.241	-0.385	-0.105	-0.596	-0.193	-0.507	-0.34	-0.469	-0.308	-0.66	-0.74	-0.593	-0.354	-0.019	-0.397	-0.425	-0.39	-0.431	0.017	0.011	-0.469	-0.413	-0.463	-0.386
ACOT11	0	0	0	0	0.622	0	0.489	0	0	0	0	0	0	0.568	0	0	0	0	0	0	0.69	0.2855	0	0	0	0	0	0	0	0	0.175	0	0	0	0.0405	0	0.0685	0
ACOT2	-0.1155	0.0675	0.0865	-0.0395	0.286	0.217	0.2845	0.924	0.0415	0.748	0.966	0.115	0	0.448	0.759	0.6125	0.25	0.389	0.987	0	0.61	0.3705	0.231	0.255	0.47	0.0535	0.243	0.601	0.693	0.6	0.5	0.429	0.952	0.911	0.406	0.1735	0.237	0
ACOT7	-0.0105	0	0.2065	0.0905	1.572	1.694	0.524	1.819	2.008	0.684	2.411	1.095	0.494	2.568	2.164	2.07	1.96	1.739	1.452	0.8265	1.24	1.606	0.611	1.71	1.775	0.5585	2.221	1.731	2.483	0.8925	1.66	1.289	2.082	1.861	0.5055	1.057	0.6735	0.547
ACOT8	0.339	0.725	0.673	0.711	1.352	1.164	0.729	1.294	1.453	0.948	0	0.67	1.448	0	0.929	1.675	1.205	1.074	1.247	1.013	1.09	0.951	0.952	1.51	1.59	1.127	1.286	0.791	1.523	1.275	0.81	0.699	1.207	1.191	0.901	0.807	1.547	0.924
ACOT9	-5e-04	-0.0975	0	0.0205	0.677	0.077	0.494	0.017	0.2265	0.009	0.1555	-0.115	0.484	0.2165	0.0545	0.5375	-0.0475	0.092	0.0785	0	0.065	-0.0795	0.001	0.155	1.445	1.462	0.528	-0.0345	0.893	-0.2725	0.25	0.0045	-0.0865	0.1055	-0.0495	0.1035	1.012	0.077
ACP2	0	0	0	-0.299	0.072	0	0.129	0	0	0.798	0	0	0.848	0	0.909	0.415	0.815	0	1.267	0	0.4	1.091	0	0.94	0	0	0.386	0.871	0.513	1.495	0.28	0	0.727	0.581	0	0	0	0
ACP5	0.259	0	0.123	0	-0.018	-0.356	-0.531	0.854	0	-0.252	-1.039	-0.66	0	0.013	0.879	-0.235	0.245	-0.356	0.127	0.313	-0.29	-0.009	0.122	0	0.02	0	-0.154	0.521	0.033	0.165	0.56	0	-0.143	-0.149	-0.559	-0.173	-0.673	0
ACP6	0.589	0	0.093	0.741	0.392	0.664	0.239	0.784	0.793	0.788	0.671	0.22	0	0	0.369	0.655	0.725	0	0.907	0	0.6	0.571	0.882	0.97	0.63	0	2.076	0.561	1.213	1.065	1.07	0.349	0.447	0.761	0	0.557	0	0.584
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.669	0	-0.375	0.31	0	0	0	0	-0.043	0	0
ACRBP	-0.051	0.425	0	0.231	1.772	1.004	-1.191	0.394	1.123	-0.912	-0.179	-0.06	0.898	0.383	0.239	-0.375	1.365	0.254	0.147	0.873	-0.91	0.951	0.492	-0.31	0.46	0.557	-0.464	0.211	0.403	-0.055	-1.46	-0.881	0.357	-0.519	-0.619	0.337	-1.613	-1.156
ACRV1	0	0	0	0	0	-0.956	-0.971	0	0	0	0	0	0	-1.277	0	0	0	0	0	0	0	-0.789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.477	0
ACY1	0	0	0	0	1.062	0	0.139	0	0	0	0	0	0	0	0	0.835	1.255	0	0	0	0.77	0	0	0.98	0	0	0	0	1.173	1.325	0.4	0	0	0.701	0	0	0	0
