Symbol	GSM8564259	GSM8564260	GSM8564261	GSM8564262	GSM8564263	GSM8564264	GSM8564265	GSM8564266	GSM8564267	GSM8564268	GSM8564269	GSM8564270	GSM8564271	GSM8564272	GSM8564273	GSM8564274	GSM8564275	GSM8564276	GSM8564277	GSM8564278	GSM8564279	GSM8564280	GSM8564281	GSM8564282	GSM8564283	GSM8564284
A1BG	41.0	41.0	60.0	29.0	58.0	49.0	48.0	52.0	68.0	70.0	33.0	31.0	25.0	23.0	24.0	9.0	22.0	14.0	35.0	23.0	36.0	22.0	26.0	14.0	30.0	25.0
ADA	463.0	163.0	389.0	417.0	329.0	348.0	387.0	520.0	228.0	336.0	648.0	655.0	400.0	948.0	1073.0	1541.0	584.0	1241.0	603.0	774.0	504.0	857.0	138.0	963.0	323.0	576.0
CDH2	16.0	15.0	10.0	0.0	2.0	3.0	6.0	0.0	5.0	10.0	12.0	3.0	1.0	5.0	2.0	2.0	3.0	9.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0
AKT3	541.83	171.55	267.07	287.86	256.46	346.81	642.52	617.83	486.72	488.45	512.54	598.46	319.58	299.19	252.73	239.26	79.0	256.69	456.63	212.86	462.29	171.98	52.1	223.6	105.2	106.71
MED6	352.0	117.0	140.0	144.0	132.0	163.02	316.52	289.0	240.99	240.04	385.03	414.0	272.0	425.0	446.0	511.0	277.27	541.0	285.0	383.0	389.0	223.0	73.77	305.0	143.05	140.18
NAALAD2	17.0	12.0	27.0	19.0	20.0	32.0	27.0	39.0	28.0	23.0	6.0	16.0	17.0	49.0	13.0	28.0	4.0	9.0	23.0	5.0	20.0	5.0	9.0	5.0	20.0	18.0
DDTL	41.9	35.47	47.35	31.89	33.88	36.21	53.85	97.3	47.76	58.85	48.24	40.67	46.88	58.52	48.04	29.39	56.3	42.45	53.68	29.84	57.44	35.76	36.26	33.22	45.74	72.31
NAALADL1	139.0	88.0	117.0	126.0	188.0	185.0	138.0	177.0	109.0	109.0	63.0	85.0	129.0	74.0	68.0	42.0	43.0	41.0	131.0	41.0	109.0	97.0	49.0	56.0	65.0	75.0
SIGLEC14	2141.95	1631.21	2427.8	1508.56	0.0	454.92	1.16	759.65	1.16	9.3	2025.9	2186.13	4495.11	1445.57	828.16	3032.23	3.79	0.0	3982.55	334.61	0.0	0.0	0.0	289.23	0.0	5760.1
ACOT8	270.41	240.13	304.27	338.72	319.05	324.86	233.76	257.52	219.91	232.07	262.14	297.32	356.18	241.37	311.69	241.48	196.65	291.47	330.36	232.56	324.98	283.36	201.23	161.31	188.1	193.82
ABI1	2517.8	1654.94	1796.8	1716.86	1396.0	1459.82	2077.32	2125.59	1634.95	1965.59	2402.91	3220.62	2316.93	2888.92	2219.0	2954.49	706.73	1790.84	2689.83	1692.87	2255.95	1399.84	1451.0	1868.99	825.85	1820.97
GNPDA1	586.0	240.0	430.0	422.0	304.0	307.0	421.0	471.0	273.0	258.0	359.0	900.0	629.0	505.0	431.0	374.0	215.0	443.0	691.0	289.0	684.0	331.0	307.0	247.0	119.0	255.0
KCNE3	1539.0	523.0	1008.0	1246.0	477.0	337.0	751.0	914.0	312.0	398.0	282.0	1173.0	1916.0	494.97	558.0	389.0	66.19	339.0	1523.88	159.0	1747.03	374.0	1120.0	232.01	116.0	290.0
ZBTB33	1244.0	489.0	579.0	676.0	607.0	654.0	1236.0	1005.0	982.0	1079.0	830.0	1066.0	870.0	1164.0	806.0	809.0	202.0	697.0	1101.0	525.0	1234.0	348.0	145.0	511.0	272.0	419.0
CDH3	2.0	3.0	1.0	1.0	4.0	5.0	2.0	2.0	2.0	3.0	1.0	2.0	3.0	1.0	0.0	2.0	3.0	0.0	4.0	2.0	2.0	1.0	0.0	0.0	2.0	2.0
TANK	1116.0	908.0	827.0	794.0	653.0	708.0	823.0	882.0	832.0	744.0	1329.0	1635.0	1379.0	2214.0	963.0	1765.0	321.0	1005.0	1331.0	571.0	1379.0	476.0	765.0	619.0	206.0	925.0
POM121C	4069.05	2719.05	3407.42	3226.5	3350.33	2903.9	4233.26	4225.76	3632.85	3185.43	4056.88	1949.41	2800.65	1581.1	2704.82	1284.1	680.03	2600.47	3176.47	2615.13	3056.28	4791.5	1659.91	3546.36	1342.78	2326.42
ZSCAN30	87.58	49.23	93.1	71.4	97.54	93.45	97.05	100.34	68.6	65.58	77.0	183.19	65.47	199.02	74.55	171.95	32.45	60.6	144.59	93.63	53.25	50.69	21.39	51.93	42.5	50.29
SRA1	486.0	568.0	544.0	524.0	503.0	411.0	391.0	467.0	547.0	514.0	754.0	859.0	658.0	690.0	593.0	735.0	448.0	756.0	657.0	724.0	613.0	631.0	633.0	590.0	609.0	840.0
TMEM170B	1184.0	974.55	1021.01	1103.63	1027.01	479.92	1129.0	997.0	628.0	1061.72	549.0	2704.0	1166.0	1655.61	551.0	1350.91	84.73	360.0	1553.0	186.0	1513.0	404.97	759.99	148.0	177.47	431.94
ZGLP1	33.0	49.0	44.0	38.0	36.0	39.0	36.0	41.0	31.0	29.0	19.0	24.0	38.0	25.0	26.0	20.0	24.0	19.0	38.0	6.0	34.0	21.0	43.0	17.0	47.0	31.0
C8orf88	4.0	3.0	7.81	7.9	3.0	2.78	6.0	7.83	4.0	8.0	5.0	4.33	5.89	7.62	6.0	9.14	4.8	4.93	4.86	3.92	4.83	1.0	37.83	1.0	5.0	4.0
FAM229A	10.0	33.0	25.0	19.0	28.0	27.0	18.0	19.0	34.0	40.0	12.0	6.0	12.0	15.0	1.0	5.0	6.0	2.0	21.0	6.0	3.0	7.0	30.0	1.0	12.0	15.0
LOC100128108	54.0	43.0	75.0	57.0	89.0	84.0	75.0	70.0	54.0	80.0	38.0	50.0	26.0	77.0	27.0	36.0	20.0	23.0	42.0	24.0	43.0	11.0	19.0	14.0	31.0	24.0
