Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
CNTRL	2.128	1.754	1.121	0.727	2.157	2.083	0.17	2.051	2.063	1.845	2.439	2.733	1.479	0.752	2.217	1.049	2.602	1.188	2.986	1.798
PHF21A	1.658	1.892	-0.09	0.965	1.204	-0.142	2.227	0.39	0.737	-0.349	0.301	1.015	-0.52	-0.766	-0.153	0.695	0.378	-0.775	1.523	-0.584
SEC16A	-0.368	0.773	2.437	0.33	-0.771	1.766	4.462	0.529	-0.085	-0.085	-0.768	-0.153	-1.116	-0.381	-0.291	0.149	-0.641	-0.88	0.946	-0.947
KDM6B	0.685	1.034	0.56	0.518	0.704	0.745	3.101	0.122	0.9	0.46	0.631	0.981	-0.103	-0.178	0.308	0.867	-0.347	0.126	0.914	0.006
SLC30A7	1.12	0.001	1.481	0.007	0.349	0.843	1.719	-0.563	0.232	0.245	0.886	1.967	0.233	0.686	0.604	0.204	0.842	-0.647	1.069	-0.092
PTPRA	-1.36	-1.165	-1.492	-0.838	-1.471	-1.349	-0.317	-0.924	-1.03	-1.371	-0.398	-0.815	-1.304	-0.683	-1.207	-0.852	-1.191	-2.493	-1.062	-1.316
RPS6KA1	2.658	2.481	3.007	1.891	3.002	1.185	1.201	2.611	2.935	2.709	3.342	3.249	1.646	1.944	2.303	2.018	1.85	1.286	2.458	2.618
CSE1L	-1.326	-1.305	-1.314	-1.499	-0.781	-1.903	0.476	-0.3	-1.896	-1.784	-1.81	-1.08	0.571	-1.762	1.111	-0.859	-0.093	-1.321	-0.834	-1.524
CHIT1	-1.558	-2.751	-2.923	-2.759	1.739	-3.577	-0.005	-0.951	-2.56	-2.9	-1.398	-3.448	-3.612	-2.441	-3.364	1.311	-3.209	-2.407	-1.458	-2.812
ATXN2L	-0.042	-0.443	0.157	-0.38	1.437	-0.751	-0.053	0.243	-0.132	-0.131	-0.079	-0.181	-0.564	0.306	-0.603	-0.459	0.021	-0.864	-0.088	-0.531
TRAF6	1.379	1.107	3.369	-0.091	0.521	0.031	1.127	0.656	1.209	0.854	0.785	1.154	1.228	0.777	0.262	0.898	0.343	0.866	1.958	0.7
TARBP2	-0.338	-0.89	-0.615	-0.701	-0.199	-1.772	1.488	0.18	-1.087	-0.342	-0.839	-0.517	-0.599	-0.605	-0.221	-0.685	1.103	-0.815	-0.658	-0.775
PWP2	1.861	0.764	1.349	1.817	1.304	1.38	2.753	0.933	2.494	0.878	0.407	0.439	0.19	0.67	1.129	2.366	-0.419	1.535	1.22	0.051
IDH3A	0.054	-0.289	-0.184	-0.37	0.446	0.468	1.714	2.233	-0.067	0.902	0.928	0.018	1.331	1.438	1.427	0.696	1.397	0.467	0.917	0.329
