Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
A1CF	1.782	-0.818	-1.093	-1.751	0.848	3.052	-0.284	0.977	0.754	0.648	0.041	1.892	0.323	0.947	1.174	0.373	0.809	1.779	0.704	-0.198
A2M	-4.956	-4.666	-5.381	-5.63	-5.316	-5.361	-1.671	-7.288	-5.181	-6.232	-6.284	-4.652	-5.333	-6.4	-4.776	-5.55	-5.477	-6.228	-6.07	-5.325
A4GALT	2.371	2.176	6.05	0.73	5.571	5.684	10.316	1.692	8.518	4.632	3.238	2.252	5.731	3.732	3.852	1.657	-2.772	2.276	NA	1.315
AAAS	-2.128	-2.116	-2.295	-2.301	-0.616	-2.369	-4.852	-0.97	-2.496	-0.847	-2.993	-1.172	-1.766	-1.014	-0.832	-1.826	-2.469	-2.12	-2.267	-2.309
AADAC	0.298	-4.078	-0.121	-1.04	-1.607	NA	4.767	-0.014	-1.04	-1.836	0.776	2.393	-1.086	-0.578	-0.296	-1.494	0.11	-0.043	-4.496	-1.458
AADACL2	0.808	1.438	0.433	-1.072	-2.674	-0.29	NA	-0.24	-0.975	-1.168	0.282	-0.203	-0.324	-1.442	0.042	0.094	-1.287	-1.478	-0.597	-0.698
AADAT	-0.517	-0.425	-0.325	-0.205	0.791	-1.767	-0.951	-1.394	-0.655	-0.107	-0.956	-0.439	-1.581	-0.769	-0.447	-1.669	-1.541	-0.55	-0.973	-0.678
AAGAB	1.216	-0.644	-0.888	0.759	1.297	-0.775	2.429	1.457	1.519	-0.46	0.597	1.238	0.338	0.011	-0.505	1.61	0.955	-0.055	0.383	-0.163
AAK1	-2.963	0.563	-0.593	-0.055	NA	-3.248	NA	0.261	0.177	-0.123	-0.046	NA	-0.175	-0.049	-0.39	1.746	-0.486	0.156	-0.291	-0.66
AAMP	-2.301	-1.606	-1.911	-1.223	-1.139	-0.639	-2.223	-2.2	-0.908	-1.263	-2.201	-1.022	-1.938	-1.451	-0.981	-1.581	-1.84	-2.779	-1.312	-1.273
AANAT	0.786	-1.128	-0.453	1.685	3.041	1.471	2.574	0.942	-2.494	0.687	-1.81	1.232	0.776	0.715	1.077	0.421	0.849	0.248	0.741	-0.148
AARS2	0.833	-1.508	-0.004	-0.282	-0.109	-0.488	2.567	0.862	-0.337	-1.209	-1.604	-0.706	-1.001	-0.846	-1.085	-0.942	-0.321	-1.353	-0.892	-1.719
AARSD1	0.175	-0.308	-0.572	2.156	-0.465	1.063	NA	2.196	-0.618	0.882	1.075	1.018	1.176	0.61	0.321	0.895	0.642	1.519	0.414	0.632
