Symbol	GSM998317	GSM998318	GSM998319	GSM998320	GSM998321	GSM998322	GSM998323	GSM998324	GSM998325	GSM998326	GSM998327	GSM998328	GSM998329	GSM998330	GSM998331	GSM998332	GSM998333	GSM998334	GSM998335	GSM998336	GSM998337	GSM998338	GSM998339	GSM998340	GSM998341	GSM998342	GSM998343	GSM998344	GSM998345	GSM998346	GSM998348	GSM998349	GSM998350
A1CF	0.724	0.127333333333333	1.00466666666667	0.764	1.17733333333333	0.275	0.813	1.44266666666667	1.54233333333333	0.256	1.537	0.699666666666667	1.283	0.794	1.53566666666667	0.301333333333333	1.03266666666667	0.757	-0.0226666666666667	0.365333333333333	0.703	0.615	-0.0823333333333334	0.843	1.63966666666667	1.658	1.04433333333333	1.54366666666667	0.0756666666666665	0.107	0.674	0.895	0.777333333333333
A2M	-3.92075	-3.832	-5.64333333333333	-3.625	-3.3165	-0.975	-3.074	-4.424	-3.698	-4.472	-3.87875	-4.58775	-3.22425	-3.635	-3.3695	-4.3835	-4.46225	-3.573	-3.67975	-3.61025	-3.6285	-3.08175	-4.079	-5.57566666666667	-3.93525	-4.5015	-3.51475	-3.3045	-3.7455	-3.0225	-3.42275	-3.64025	-3.52425
A4GALT	-0.362	-1.07166666666667	0.833666666666667	0.67	-0.1715	2.47266666666667	-0.802	-1.221	0.498333333333334	-0.191666666666667	-0.867666666666667	0.0933333333333333	-2.352	-2.175	-0.0340000000000001	0.99	-0.393666666666667	-0.6865	-0.876666666666667	0.0146666666666667	-1.064	-2.49	-0.0456666666666668	-1.78266666666667	-2.1195	-0.214666666666667	-0.257333333333333	-0.574666666666667	-3.449	0.242666666666667	-0.641333333333333	-0.553	-0.548666666666667
AAAS	-2.431	-2.301	-0.616	-2.369	-2.793	-4.852	-2.117	-0.97	-2.496	-0.847	-2.128	-2.993	-2.489	-2.295	-1.172	-1.766	-1.014	-2.858	-2.116	-0.832	-1.826	-0.836	-1.618	-2.469	-2.818	-2.12	-1.939	-2.036	-2.267	-2.295	-2.309	-2.204	-1.648
AADAC	-3.164	-1.04	-1.607	NA	-0.817	4.767	-2.979	-0.014	-1.04	-1.836	0.298	0.776	0.439	0.201	2.393	-1.086	-0.578	NA	-4.078	-0.296	-1.494	-0.535	0.181	0.11	-0.335	-0.043	-1.332	-1.5	-4.496	-0.121	-1.458	-0.691	-2.279
AADACL2	-0.745	-1.072	-2.674	-0.29	-0.878	NA	-0.682	-0.24	-0.975	-1.168	0.808	0.282	-4.38	-0.998	-0.203	-0.324	-1.442	-0.618	1.438	0.042	0.094	-2.877	-0.872	-1.287	1.156	-1.478	-1.176	0.29	-0.597	0.433	-0.698	0.424	0.774
AADAT	-0.0625	0.2735	0.785	-0.939	0.3765	-0.668	1.027	-0.122	-0.09	0.373	0.204	-0.1525	-0.3965	-1.195	0.5225	-0.6405	0.097	0.4015	-0.433	-0.1475	-0.5515	0.2895	0.5145	-0.607	-1.1145	-0.1295	-0.383	0.0775	-0.2815	-0.0485	-0.136	-0.5285	-0.4355
AAGAB	0.6935	0.052	-0.2405	-0.7675	-0.6515	0.6015	-0.401	0.5375	0.9195	-0.385	1.302	0.626	0.261	0.7935	0.3675	0.056	0.41	0.718	-0.6195	-0.1425	0.763	1.354	-1.675	0.7155	-0.096	-0.2125	-0.1055	-0.516	0.145	-0.339	0.1975	-0.0505	-0.023
AAK1	0.1064	0.3146	0.4885	-0.7072	0.4576	0.1665	0.0804	-0.0878	0.7634	0.497	-0.5424	0.5124	0.052	-0.4178	-0.0314999999999999	-0.0256	0.2904	-0.3604	0.3358	0.4774	0.7816	1.6252	0.875	0.1544	0.6962	0.1912	0.1942	0.35	0.0776	0.331	-0.04625	0.1526	0.0672
AAMP	-0.909	-1.223	-1.139	-0.639	-1.478	-2.223	-1.212	-2.2	-0.908	-1.263	-2.301	-2.201	-1.786	-1.883	-1.022	-1.938	-1.451	-1.846	-1.606	-0.981	-1.581	-1.352	-1.388	-1.84	-1.341	-2.779	-1.413	-0.921	-1.312	-1.911	-1.273	-1.877	-1.642
AANAT	0.7485	1.391	1.6795	0.826	-1.9095	1.64	0.9645	0.26	-0.795	0.5205	0.4005	-1.0505	-0.8775	1.8895	0.614	0.4715	0.4535	0.5705	0.4055	0.72	1.5515	0.7265	0.707	0.8485	0.6555	0.0415	1.2285	0.8245	0.262	1.072	-0.099	-0.567	-0.5045
AARS2	0.188	-0.282	-0.109	-0.488	1.503	2.567	0.743	0.862	-0.337	-1.209	0.833	-1.604	0.227	-1.46	-0.706	-1.001	-0.846	0.605	-1.508	-1.085	-0.942	-0.155	-0.907	-0.321	-0.636	-1.353	-1.284	-0.572	-0.892	-0.004	-1.719	-1.534	-0.415
AARSD1	1.289	2.156	-0.465	1.063	-0.804	NA	-0.134	2.196	-0.618	0.882	0.175	1.075	-0.018	-0.054	1.018	1.176	0.61	2.016	-0.308	0.321	0.895	1.27	1.509	0.642	0.245	1.519	0.875	-0.066	0.414	-0.572	0.632	0.087	0.858
AASDHPPT	-1.41	-3.099	-1.982	-0.36	-0.528	-2.675	-3.307	-1.007	-1.647	-1.489	-2.458	-0.975	-1.535	-0.948	-2.679	0.086	-0.515	-2.019	-1.553	-1.041	-0.698	-1.368	-1.113	-1.323	-0.043	0.539	-0.226	-1.989	-0.473	-1.718	-0.591	0.043	-1.496
AASS	-1.16	0.5085	-0.515	0.004	4.1505	1.617	-0.872	0.171	-2.1745	-0.986	0.0995	0.863	-0.9745	-0.2525	-1.7425	-2.0735	-1.722	-0.5015	-3.4945	-2.008	-0.4855	-3.268	-0.804	-0.858	-1.0095	-1.6605	-0.884	-1.308	-0.716	1.004	-1.2205	-0.0745	-0.8465
AATF	1.052	0.252	0.369	-0.788	0.4985	0.5835	1.234	0.962	1.212	0.467	-0.6085	0.7275	0.5605	0.137	1.346	-0.177	0.6405	0.8655	0.238	0.565	0.1685	1.2965	1.0045	-0.28	-0.149	-1.0055	0.6085	1.0025	0.378	-0.1355	0.442	0.1465	0.244
ABAT	0.249	-0.3635	0.279	-0.606	-0.18	1.277	-0.1135	-0.099	-0.2005	-0.5035	-0.902	-1.3655	0.178	-0.152	-1.355	-1.1415	-0.946	-0.6895	-0.1405	-0.727	-0.242	-0.8925	-0.075	-0.755	-0.2815	-0.0405	-1.238	-0.522	-0.387	-0.2195	-0.711	-0.5155	-0.9925
ABCA1	2.2175	0.766	2.415	1.25	-0.9605	3.123	-1.61633333333333	0.41	-0.0783333333333333	-0.763666666666667	0.689	0.778333333333333	-1.48366666666667	-0.023	1.704	-0.471	0.078	0.674333333333333	1.452	0.63275	2.08566666666667	0.168333333333333	0.5155	-0.872333333333333	0.715666666666667	0.384333333333333	-0.579	0.396666666666667	-0.6125	0.216666666666667	0.207333333333333	2.335	-0.224
ABCA12	-0.937	-1.579	0.0535	-0.051	1.5675	-0.527	0.1075	1.61	-1.495	-0.1685	0.6205	-0.135	-0.0465	-0.981	-0.0690000000000001	-0.146	-0.6505	-0.552	-0.412	-0.4075	-0.793	0.0345	-0.72	-1.6665	-0.9635	-0.1795	-0.9865	-0.626	0.0545	-0.5455	-0.0105	-0.241	-0.6885
ABCA3	-3.8255	-3.35	-3.0355	-2.5715	-1.702	-3.6165	-0.2325	-1.773	-3.188	-3.3015	-3.085	-3.5345	-3.38	-3.7715	-2.409	-4.0085	-3.205	-2.8235	-3.363	-3.1085	-3.799	-3.423	-3.1645	-3.71	-3.413	-3.5555	-3.153	-1.2915	-5.123	-3.797	-3.316	-2.9235	-2.826
ABCA4	-1.482	-1.108	-1.209	-0.365	-6.726	-1.803	-0.008	0.021	-0.725	0.558	-0.862	0.246	-1.361	-1.24	-0.826	-0.02	0.668	-0.655	-1.52	0.142	-0.28	-2.77	-0.061	-0.441	-0.858	-0.299	-0.036	-0.323	-1.054	-1.276	0.011	-1.489	-0.843
ABCA5	-1.1765	-1.14725	-1.2725	0.59325	-0.127	0.571	-1.284	-0.05875	-1.62725	-0.33675	0.0592500000000001	0.22375	-0.26075	-0.0902500000000001	-1.0365	0.49225	-0.00225	-1.64166666666667	-0.208	-0.36425	-0.131	-1.058	0.03	-0.22025	0.95725	0.5685	0.289	-0.88525	-0.20975	-0.82375	-0.321	1.13725	-0.06225
ABCA7	0.619	0.066	-0.653	0.491	0.342	1.413	0.161	0.632	-0.169	0.35	-0.291	0.532	-0.251	-0.228	0.308	0.065	0.011	0.502	-0.011	-0.05	0.271	-0.036	1.037	0.174	0.622	0.25	0.299	0.218	0.312	0.067	-0.156	-0.323	0.044
ABCA9	-3.231	-3.705	-1.574	-4.552	-1.988	-1.551	0.739	0.219	-1.988	-3.898	-1.986	-3.638	-3.4	-4.412	-2.721	-4.569	-5.007	-2.944	-3.36	-5.307	-5.193	-3.216	-3.383	-2.823	-4.007	-4.082	-4.2	-2.013	-6.899	-3.975	-3.726	-3.44	-3.825
ABCB1	0.091	-0.2865	0.552	0.5325	-0.7875	-1.279	-1.496	0.9225	-0.7825	0.861	0.941	0.0935	0.2945	0.8295	0.6335	0.9035	0.806	0.5135	0.6795	-0.0545	0.83	0.752	0.9555	1.232	1.667	0.363	0.8415	0.035	0.3895	0.8295	0.391	0.8905	1.036
ABCB10	-2.50766666666667	-1.43733333333333	-1.155	-0.901666666666667	-0.713333333333333	-2.93833333333333	-2.72366666666667	-1.33466666666667	-2.63133333333333	-1.30866666666667	-2.354	-1.19733333333333	-1.99733333333333	-0.924333333333333	-1.59933333333333	-0.564333333333333	-0.888333333333333	-2.231	-2.92166666666667	-1.007	-1.24433333333333	-1.59066666666667	-2.19533333333333	-1.67366666666667	-1.543	-0.396666666666667	-1.41933333333333	-1.78033333333333	-1.289	-2.44733333333333	-1.02933333333333	-1.42666666666667	-1.64533333333333
ABCB4	-1.251	-0.532	-1.65	-0.567	-2.492	-3.082	-2.431	0.388	-1.386	-1.109	-0.818	-1.714	-1.813	-1.286	-2.104	-1.395	-0.983	-0.48	-2.167	-1.361	-0.327	-1.881	-0.775	0.377	-1.516	-1.428	8.223	-1.368	-0.621	-1.025	-1.519	-1.326	-1.957
ABCB5	1.24	1.958	1.603	1.146	0.203	-0.731	-0.13	-0.723	1.892	1.354	0.939	1	1.112	1.641	1.608	0.583	0.959	1.633	2.027	0.184	1.612	1.044	1.516	2.905	0.761	0.548	0.772	1.122	0.571	1.291	0.404	1.163	0.741
ABCB6	-0.37	-0.316	-1.149	-1.34	-0.881	3.372	-0.807	-2.922	0.528	-0.561	0.085	1.362	1.27	0.257	-0.49	-1.371	-0.308	-0.094	-2.319	-1.415	-1.181	-1.744	-2.486	-0.707	-1.092	-0.998	-3.361	-0.693	0.41	-1.816	-2.509	-1.544	-2.27
ABCB7	-0.0336666666666667	-0.122666666666667	0.445	0.292	0.633666666666667	-2.73066666666667	0.0966666666666666	0.218666666666667	0.533333333333333	0.024	-0.260666666666667	-0.137666666666667	0.62	-0.275666666666667	-0.347666666666667	0.661666666666667	0.756666666666667	0.167333333333333	-0.086	0.448333333333333	-0.0756666666666667	-0.281666666666667	-0.184666666666667	0.310333333333333	0.678333333333333	0.0546666666666667	-0.032	-0.249333333333333	0.364	-0.464	0.500666666666667	0.594333333333333	-0.116666666666667
ABCB9	-0.495	0.431	0.347	0.528	0.418	1.005	0.355	1.798	0.937	0.925	0.656	0.068	1.205	-0.452	-0.776	1.535	0.794	1.353	-0.25	0.838	-0.22	-0.436	0.319	0.982	-0.717	-0.208	-1.131	0.304	0.678	0.165	-0.321	-0.381	0.343
ABCC1	1.313	1.062	0.5	1.1965	2.194	-1.084	1.962	0.655	0.7855	0.155	2.2485	1.5295	2.001	1.6355	0.7515	0.706	0.178	1.0645	1.884	-0.3625	0.2135	0.8635	1.551	1.051	0.9935	1.3595	1.5125	1.569	1.053	1.707	1.032	2.175	1.5385
ABCC10	-1.773	-1.7765	0.755	-0.301	-0.415	-0.631	-1.6445	-0.2345	-1.0755	-1.058	-1.727	-0.036	-2.2455	0.112	-2.1925	-1.4835	-1.895	-2.465	-1.608	-1.192	-1.385	-1.363	-1.474	-0.7935	-1.61	-1.3795	-2.1215	-0.9205	-0.4205	-0.4765	-1.661	-1.5595	-1.7695
ABCC11	0.336	0.261	0.226	-2.074	3.765	8.105	0.45	0.672	0.096	-0.891	1.311	-0.115	-0.389	-2.339	-2.897	0.347	0.049	1.664	-1.99	-0.273	0.027	-0.226	-0.317	NA	-0.467	-0.233	-1.447	0.964	0.327	-0.021	0.048	-0.426	-0.237
ABCC2	-2.76	-5.869	-2.5875	-1.501	-2.0425	-3.459	-2.489	-1.715	-2.046	-3.012	-2.0445	-2.356	-2.0035	-2.5715	-2.392	-2.164	-2.307	-2.1335	-2.324	-2.9415	-4.0235	-1.911	-4.153	-4.0795	-2.0745	-2.36	-2.54	-2.4415	-3.435	-2.215	-2.8935	-2.0075	-2.3395
ABCC3	-1.918	-1.71	-3.885	-1.642	-0.884	-0.468	-2.926	-2.031	0.685	-3.721	-1.443	-3.519	-2.869	-2.205	1.187	-1.755	-3.072	-2.729	-2.016	-1.767	-2.94	-2.854	-2.365	-2.375	-2.575	-3.163	-3.714	-1.634	-3.481	-1.667	-2.15	-2.769	-1.926
ABCC4	-3.301	-3.399	-3.032	-1.295	-1.941	-0.467	-0.294	-2.412	-2.747	-2.317	-0.675	-3.241	-1.692	-1.912	-1.534	-0.942	-2.184	-3.842	-1.78	-1.967	-2.005	-3.684	-2.185	-2.057	-2.928	-2.714	-2.456	-1.439	-3.914	-1.075	-0.724	-2.058	-2.275
ABCC5	-0.0728	-1.88883333333333	0.280833333333333	0.393333333333333	-0.0043333333333333	0.994	-0.420833333333333	-0.342333333333333	-0.4435	-0.276166666666667	0.0851666666666667	-0.3706	-0.371333333333333	0.439333333333333	-1.01733333333333	-0.5335	-0.027	0.177833333333333	-0.798166666666667	-0.365666666666667	0.9482	0.134833333333333	-0.515666666666667	-1.25116666666667	-0.456166666666667	-0.2285	-0.190166666666667	0.198	-0.343333333333333	-0.6118	-0.170166666666667	0.168	-1.2886
