Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
IFI27	6.33106451612903	4.160575	33.9357855751518	1.06459283238071e-31	1.03361318095843e-27	58.202209509927
IFI44L	4.69437275985663	8.20125	16.4076431229719	1.18303173241307e-19	5.74302754499925e-16	34.2086309967452
LAP3	3.31145161290322	2.763375	13.9348271185883	3.58903081027243e-17	1.1615300045645e-13	28.7954248968929
C20orf96	1.85958781362007	1.134625	13.29307684498	1.76836863230571e-16	4.29227276276403e-13	27.2683733660883
HERC6	3.50035483870968	3.115775	13.0092051276933	3.63702079347024e-16	6.03415316818653e-13	26.5758417576754
SMAD1	1.58055913978495	-0.6184	12.9994412001897	3.72900597477795e-16	6.03415316818653e-13	26.5518329548431
PLAC8	2.25640501792115	4.311825	12.020665749551	4.84141083883203e-15	6.3263756602525e-12	24.0802922466118
ISG15	4.45894982078853	4.937575	11.9931122560515	5.21279279864249e-15	6.3263756602525e-12	24.0088368311967
DUSP5	2.08125448028674	1.27775	11.4528429834372	2.2645042694107e-14	2.44289688352316e-11	22.5866501299731
KLHDC7B	2.03106810035842	4.1413	11.3251436057547	3.22204289326525e-14	3.12828144507123e-11	22.2446099640907
CXCL10	3.74685304659498	5.8667	11.0009653050328	7.96263938117416e-14	7.02811506834727e-11	21.3661533029552
LY6E	3.80170967741935	1.401325	10.7633103174025	1.55909803716203e-13	1.03530121699934e-10	20.7128991732733
IFI6	2.63406093189964	2.856175	10.7624649749458	1.56284931751244e-13	1.03530121699934e-10	20.710561569013
IFI44	4.59859856630824	4.522025	10.7609626575781	1.5695386278014e-13	1.03530121699934e-10	20.706407004341
XAF1	2.38148028673835	5.656425	10.7543132774074	1.59949719383974e-13	1.03530121699934e-10	20.6880148068007
DTX3L	2.13448387096774	4.566225	10.7008741854129	1.86237544339995e-13	1.13011269874813e-10	20.539979920308
RTP4	2.94816487455197	5.09705	10.5609413997924	2.77890520087506e-13	1.58175712640651e-10	20.1504724031458
OAS2	2.35495340501792	5.2782	10.5421983188515	2.93249853489723e-13	1.58175712640651e-10	20.098094999324
EPHB2	3.04489247311828	-0.119875	10.5134636923231	3.18489565073382e-13	1.62748167752498e-10	20.0177021774433
EIF2AK2	3.02501240694789	2.55905128205128	10.494769741393	3.36084134181799e-13	1.63152042938554e-10	19.9653397006318
SAMD4A	3.393229390681	1.091975	10.4657761740305	3.65347549370619e-13	1.68912350325683e-10	19.8840323178823
MT1F	1.84547008547009	0.404128205128205	10.3259443081186	5.47316248881067e-13	2.4154061183574e-10	19.4902740295241
HARBI1	0.946075268817204	0.508875	9.95853277441939	1.60204770197202e-12	6.76273092975929e-10	18.4429158890192
KCTD14	3.76279192605169	-0.86578947368421	9.86518473963441	2.11047856597729e-12	8.21170916477699e-10	18.1738961410326
OAS1	2.98839068100358	5.002225	9.83985852373385	2.27479045641843e-12	8.21170916477699e-10	18.1007062656563
IFIT1	3.28507168458781	5.984375	9.83918556703008	2.27932924389666e-12	8.21170916477699e-10	18.0987603229762
TRIM22	2.38835125448029	8.33075	9.83855142360474	2.28361466112863e-12	8.21170916477699e-10	18.0969265583727
CAMK1D	-1.64511827956989	1.8277	-9.82193727161254	2.3988501854917e-12	8.23557867289253e-10	18.048863878826
RPS6KA5	-1.42957816377171	0.66974358974359	-9.81346042839961	2.45990093226783e-12	8.23557867289253e-10	18.0243271656512
UBQLNL	2.91785304659498	3.336225	9.78494817935166	2.67705990522593e-12	8.66385820661286e-10	17.9417261921224
C2	1.72223655913978	-1.3446	9.76768952030298	2.81785805547188e-12	8.82534963244402e-10	17.8916744254913
AGRN	1.95695698924731	-2.309025	9.7067372549489	3.37807493919785e-12	1.00456878512056e-09	17.7145889242728
OAS3	3.49877419354838	2.55955	9.70314323184797	3.41443711082278e-12	1.00456878512056e-09	17.7041317067916
CREB3L2	1.1676917562724	0.81285	9.63000538546055	4.24713769992184e-12	1.21280764495709e-09	17.4909563154551
KIAA1958	2.68825448028674	0.023175	9.50324659314129	6.20941105706315e-12	1.72249062722932e-09	17.1198182419346
AEN	1.00398566308244	-0.3328	9.42162782530416	7.93822901566777e-12	2.14089626425329e-09	16.8797315083168
ICAM2	1.10301792114695	3.79395	9.39201033786367	8.68003589628734e-12	2.27768833829875e-09	16.7923954428151
MPZL3	-1.57217204301075	2.7469	-9.35923955308169	9.58307747048034e-12	2.44847629370773e-09	16.6956285102309
PARP11	2.07145161290322	3.521375	9.3436395533691	1.00458523918127e-11	2.45702197544314e-09	16.6495154359165
PPM1K	1.89495340501792	1.1567	9.34112113699915	1.01226572270806e-11	2.45702197544314e-09	16.6420681391114
DDX60	2.7868458781362	6.37425	9.3095917274564	1.11361367084469e-11	2.62181643485737e-09	16.5487623090906
APOBEC3H	1.77661979597463	4.6524358974359	9.29649272496339	1.15868809073011e-11	2.62181643485737e-09	16.5099605036407
CASP7	1.37963082437276	1.587325	9.29578621072404	1.16117114737735e-11	2.62181643485737e-09	16.5078670444517
VRK2	1.21121863799283	1.07525	9.26134735734721	1.28897963202819e-11	2.84425073803674e-09	16.4057443809883
PARP12	2.34248387096774	3.490425	9.21898980454836	1.46591799465364e-11	3.10661935465466e-09	16.2799323437863
HERC5	4.3733440860215	5.408675	9.21765519954883	1.47187650956962e-11	3.10661935465466e-09	16.2759645344999
MT1G	3.46893189964157	0.0532	9.18188474215776	1.64105801500983e-11	3.3589390918453e-09	16.1695339184919
PARP9	2.37124731182796	5.70805	9.17799308014105	1.66061465041276e-11	3.3589390918453e-09	16.1579449693767
LAMP3	4.58455197132616	4.75925	9.15476018411918	1.78237976525242e-11	3.53165819200729e-09	16.0887200634118
HBEGF	1.43391039426523	-1.094275	9.14591246159429	1.83109572542388e-11	3.55562167962809e-09	16.062339401771
SAMD9	2.77965591397849	6.1539	9.0902681728523	2.169979119488e-11	4.06860347931798e-09	15.8962027687361
SERPING1	3.47255197132616	4.13245	9.08889743907416	2.17908518822263e-11	4.06860347931798e-09	15.8921052782505
IFIH1	3.40466666666666	6.02395	9.0643108319848	2.34915514980872e-11	4.30338629235714e-09	15.8185694212908
CMPK2	4.26407885304659	4.71055	9.00948196590085	2.77848046397656e-11	4.99560496754601e-09	15.6543110099771
RSAD2	2.19315770609319	7.365475	8.9790036468292	3.05067449187549e-11	5.38527248029438e-09	15.562841732373
PDZD8	-0.765100358422939	0.626825	-8.9463155350767	3.37272046193047e-11	5.84745410087195e-09	15.4646133097391
STX17	1.08923297491039	2.2636	8.91185811586301	3.74958508248002e-11	6.36467587101897e-09	15.3609261409264
STOML1	1.32291397849462	0.260925	8.90733244282173	3.80215470716964e-11	6.36467587101897e-09	15.347296976109
SHISA5	1.94805376344086	3.904075	8.87199587473908	4.23913683018465e-11	6.97309263772601e-09	15.2407943353289
TRIM69	1.95333333333333	4.1485	8.86667138227856	4.30925490023237e-11	6.97309263772601e-09	15.2247334289863
BRD7	0.919749103942652	0.37425	8.84523944744338	4.60357235408491e-11	7.21107269974872e-09	15.1600509831098
APEX2	0.75468458781362	-0.635675	8.84514829070323	4.60486669465878e-11	7.21107269974872e-09	15.1597757497422
TRIM26	1.13177777777778	1.01135	8.7933847547162	5.40273044611366e-11	8.32620792084405e-09	15.0033222700183
HAVCR2	1.34983154121864	3.111675	8.77385129859518	5.73899214267855e-11	8.70623042394782e-09	14.9441995342385
CDKN1A	1.7376164874552	0.264875	8.76241978831745	5.94552916095198e-11	8.88079117287427e-09	14.9095781640808
TBL1X	-1.00306810035842	-0.4476	-8.75454276927833	6.09220880764579e-11	8.96200838082318e-09	14.8857128333812
CAT	-1.5556164874552	2.244175	-8.72435040786799	6.68917538388916e-11	9.69331400032535e-09	14.7941695085566
FMO4	1.43218454186196	1.6414358974359	8.70288695867898	7.14925364986592e-11	1.02076623068453e-08	14.7290266433907
MS4A4A	3.19186945859272	1.12392105263158	8.6570074215916	8.24303887869677e-11	1.15987919526474e-08	14.5895976788492
IFI35	2.35436448855804	2.86541025641026	8.61858165754402	9.28857315888486e-11	1.28832509713733e-08	14.4726315523999
DHX58	2.85536559139785	4.126575	8.60952776746283	9.55386665798429e-11	1.30645762510379e-08	14.4450469833104
RUFY4	2.02438011212205	3.98025641025641	8.59629756511531	9.9553829728546e-11	1.34245574004785e-08	14.4047213455395
FBXO6	2.86455913978495	2.2047	8.59015513543556	1.01475573274515e-10	1.34962512455104e-08	14.3859923560593
C1QB	2.29133748349368	3.02034210526316	8.55093599167947	1.14662759049677e-10	1.50440638866664e-08	14.2663062401055
HESX1	5.65059422750424	3.02384210526316	8.52493306606616	1.24349355069628e-10	1.60974385116136e-08	14.1868553328692
