Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	score
IFI27	6.33106451612903	4.160575	33.9357855751518	1.06459283238071e-31	1.03361318095843e-27	58.202209509927	196.090899268046
IFI44L	4.69437275985663	8.20125	16.4076431229719	1.18303173241307e-19	5.74302754499925e-16	34.2086309967452	88.8504101544292
ISG15	4.45894982078853	4.937575	11.9931122560515	5.21279279864249e-15	6.3263756602525e-12	24.0088368311967	63.6868661008545
IFI44	4.59859856630824	4.522025	10.7609626575781	1.5695386278014e-13	1.03530121699934e-10	20.706407004341	58.8815044841309
HESX1	5.65059422750424	3.02384210526316	8.52493306606616	1.24349355069628e-10	1.60974385116136e-08	14.1868553328692	55.9711500502398
LAP3	3.31145161290322	2.763375	13.9348271185883	3.58903081027243e-17	1.1615300045645e-13	28.7954248968929	54.4568973197334
HERC6	3.50035483870968	3.115775	13.0092051276933	3.63702079347024e-16	6.03415316818653e-13	26.5758417576754	54.0428682010526
LAMP3	4.58455197132616	4.75925	9.15476018411918	1.78237976525242e-11	3.53165819200729e-09	16.0887200634118	49.2793480251658
CXCL10	3.74685304659498	5.8667	11.0009653050328	7.96263938117416e-14	7.02811506834727e-11	21.3661533029552	49.0798143088552
LY6E	3.80170967741935	1.401325	10.7633103174025	1.55909803716203e-13	1.03530121699934e-10	20.7128991732733	48.6889770409308
HERC5	4.3733440860215	5.408675	9.21765519954883	1.47187650956962e-11	3.10661935465466e-09	16.2759645344999	47.3726256645551
CMPK2	4.26407885304659	4.71055	9.00948196590085	2.77848046397656e-11	4.99560496754601e-09	15.6543110099771	45.0124378581035
KCTD14	3.76279192605169	-0.86578947368421	9.86518473963441	2.11047856597729e-12	8.21170916477699e-10	18.1738961410326	43.9329251087329
SAMD4A	3.393229390681	1.091975	10.4657761740305	3.65347549370619e-13	1.68912350325683e-10	19.8840323178823	42.2025908674837
OAS3	3.49877419354838	2.55955	9.70314323184797	3.41443711082278e-12	1.00456878512056e-09	17.7041317067916	40.1193271554966
IFIT1	3.28507168458781	5.984375	9.83918556703008	2.27932924389666e-12	8.21170916477699e-10	18.0987603229762	38.2454383653044
EPHB2	3.04489247311828	-0.119875	10.5134636923231	3.18489565073382e-13	1.62748167752498e-10	20.0177021774433	38.0517313391388
CCL2	5.14182229767968	1.59031578947368	6.69330858465881	4.41022172811604e-08	2.14094213791393e-06	8.43117423657343	37.8208774003226
EIF2AK2	3.02501240694789	2.55905128205128	10.494769741393	3.36084134181799e-13	1.63152042938554e-10	19.9653397006318	37.7326495259389
MT1G	3.46893189964157	0.0532	9.18188474215776	1.64105801500983e-11	3.3589390918453e-09	16.1695339184919	37.4120006169833
CCNA1	4.11444086021505	2.692025	7.92255340855313	8.30406677567759e-10	7.46520225231979e-08	12.32576888955	37.3620408371734
SERPING1	3.47255197132616	4.13245	9.08889743907416	2.17908518822263e-11	4.06860347931798e-09	15.8921052782505	37.023396914316
RTP4	2.94816487455197	5.09705	10.5609413997924	2.77890520087506e-13	1.58175712640651e-10	20.1504724031458	37.0175304250011
IFIH1	3.40466666666666	6.02395	9.0643108319848	2.34915514980872e-11	4.30338629235714e-09	15.8185694212908	36.1885026297602
OAS1	2.98839068100358	5.002225	9.83985852373385	2.27479045641843e-12	8.21170916477699e-10	18.1007062656563	34.794007825913
UBQLNL	2.91785304659498	3.336225	9.78494817935166	2.67705990522593e-12	8.66385820661286e-10	17.9417261921224	33.7663930994709
IFI6	2.63406093189964	2.856175	10.7624649749458	1.56284931751244e-13	1.03530121699934e-10	20.710561569013	33.7320026379812
PLAC8	2.25640501792115	4.311825	12.020665749551	4.84141083883203e-15	6.3263756602525e-12	24.0802922466118	32.3005011504649
MS4A4A	3.19186945859272	1.12392105263158	8.6570074215916	8.24303887869677e-11	1.15987919526474e-08	14.5895976788492	32.1865328163342
DDX60	2.7868458781362	6.37425	9.3095917274564	1.11361367084469e-11	2.62181643485737e-09	16.5487623090906	30.5250626610237
XAF1	2.38148028673835	5.656425	10.7543132774074	1.59949719383974e-13	1.03530121699934e-10	20.6880148068007	30.4734610852191
KIAA1958	2.68825448028674	0.023175	9.50324659314129	6.20941105706315e-12	1.72249062722932e-09	17.1198182419346	30.1271324438472
PLSCR1	3.06108243727598	5.38545	8.45042991662227	1.56941481839321e-10	1.9287909457949e-08	13.9587895601322	30.011654987305
MT2A	3.25454838709677	0.511275	8.0205523395276	6.08192300649585e-10	5.84647430396715e-08	12.6310959936269	29.9937847660852
ADAMTS5	-4.14738738738739	-3.46989189189189	-6.58168091183868	6.35409747468799e-08	2.95176709960506e-06	8.07341269168319	29.8485235956011
OLIG2	-3.61306451612903	-0.708125	-7.31998806581401	5.74236715753963e-09	3.95408813706044e-07	10.4296116431553	29.7749360434576
SAMD9	2.77965591397849	6.1539	9.0902681728523	2.169979119488e-11	4.06860347931798e-09	15.8962027687361	29.6409843808158
OAS2	2.35495340501792	5.2782	10.5421983188515	2.93249853489723e-13	1.58175712640651e-10	20.098094999324	29.5140710081971
C20orf96	1.85958781362007	1.134625	13.29307684498	1.76836863230571e-16	4.29227276276403e-13	27.2683733660883	29.293021651045
FBXO6	2.86455913978495	2.2047	8.59015513543556	1.01475573274515e-10	1.34962512455104e-08	14.3859923560593	28.6273684662311
DHX58	2.85536559139785	4.126575	8.60952776746283	9.55386665798429e-11	1.30645762510379e-08	14.4450469833104	28.6102516139614
DUSP5	2.08125448028674	1.27775	11.4528429834372	2.2645042694107e-14	2.44289688352316e-11	22.5866501299731	28.3987732780531
TRIM22	2.38835125448029	8.33075	9.83855142360474	2.28361466112863e-12	8.21170916477699e-10	18.0969265583727	27.80369778558
SOCS1	3.2068458781362	2.96275	7.55712170127429	2.67311475376418e-09	2.05978342415051e-07	11.1794101733614	27.4922332634007
KLHDC7B	2.03106810035842	4.1413	11.3251436057547	3.22204289326525e-14	3.12828144507123e-11	22.2446099640907	27.4029040949609
DTX3L	2.13448387096774	4.566225	10.7008741854129	1.86237544339995e-13	1.13011269874813e-10	20.539979920308	27.1718361620672
C15orf48	3.67321753515302	1.88046153846154	6.71138235475284	4.15720712149934e-08	2.04884893109833e-06	8.48906450410005	27.112747163444
BATF2	3.48562724014337	5.24225	6.97810844979227	1.7413840757309e-08	9.85427189311106e-07	9.34190105841987	27.0453492505176
PI3	-3.48829493087558	0.0615714285714286	-6.91602576266645	2.13165757252824e-08	1.15621583081993e-06	9.14367584792765	26.7596960628294
IFIT2	3.28482437275985	9.48185	7.24661956852801	7.28122256016553e-09	4.7773172166939e-07	10.196800641301	26.7312296360672
MT1X	2.68125089605735	0.084525	8.50165613183644	1.33721071109327e-10	1.70828668342165e-08	14.1156683339011	26.4741355086749
PARP9	2.37124731182796	5.70805	9.17799308014105	1.66061465041276e-11	3.3589390918453e-09	16.1579449693767	25.5614084759237
PARP12	2.34248387096774	3.490425	9.21898980454836	1.46591799465364e-11	3.10661935465466e-09	16.2799323437863	25.3782133438262
SPATS2L	4.0781710743001	0.380540540540541	5.87483592735115	6.4514052576012e-07	2.0075863348093e-05	5.80557391508749	25.2452886765744
CCRL2	2.71872043010752	4.131675	7.85793272687817	1.02021712933937e-09	8.92368298086125e-08	12.1239308730336	24.4448510918088
SMAD1	1.58055913978495	-0.6184	12.9994412001897	3.72900597477795e-16	6.03415316818653e-13	26.5518329548431	24.3855095709797
TIGD3	-2.48648745519713	1.37075	-8.3714462208548	2.01001055113835e-10	2.37990151719539e-08	13.7163303222151	24.1109756901706
IFI35	2.35436448855804	2.86541025641026	8.61858165754402	9.28857315888486e-11	1.28832509713733e-08	14.4726315523999	23.6191046075639
JPH4	2.7468541494348	0.609538461538462	7.43565324834517	3.95258133528071e-09	2.92746070402251e-07	10.79586674132	23.0821428001253
RSAD2	2.19315770609319	7.365475	8.9790036468292	3.05067449187549e-11	5.38527248029438e-09	15.562841732373	23.0623782303369
PARP11	2.07145161290322	3.521375	9.3436395533691	1.00458523918127e-11	2.45702197544314e-09	16.6495154359165	22.7818521972245
C1QB	2.29133748349368	3.02034210526316	8.55093599167947	1.14662759049677e-10	1.50440638866664e-08	14.2663062401055	22.7772180906677
IFIT5	2.37908602150538	5.174125	8.25729144159862	2.87754633902393e-10	3.10423304506481e-08	13.3646985838375	22.6988066154984
MT1F	1.84547008547009	0.404128205128205	10.3259443081186	5.47316248881067e-13	2.4154061183574e-10	19.4902740295241	22.6287143353861
IFIT3	2.29396774193548	6.423825	8.4640209936437	1.50409808038877e-10	1.87221644390956e-08	14.0004405849938	22.5330116338081
AGRN	1.95695698924731	-2.309025	9.7067372549489	3.37807493919785e-12	1.00456878512056e-09	17.7145889242728	22.4489008290027
GALM	2.77611111111111	1.745375	7.18181722513729	8.98284017803567e-09	5.62673517990634e-07	9.9908753429135	22.3382177094059
MT1M	2.22897132616488	-1.351325	8.47826981360725	1.43856842005158e-10	1.81390399873776e-08	14.0440850607638	21.9376906559433
DLL1	2.97051971326165	0.643375	6.64022922480436	5.24623331116052e-08	2.50914675951022e-06	8.26110155974728	21.6258362177182
LIF	2.17524372759857	-3.138075	8.3131044130452	2.41413460608474e-10	2.72544568493915e-08	13.5367957881757	20.919837763955
PPM1K	1.89495340501792	1.1567	9.34112113699915	1.01226572270806e-11	2.45702197544314e-09	16.6420681391114	20.8344545655764
GCH1	2.11576344086021	3.75605	8.40887811829268	1.78745122402289e-10	2.15796438411885e-08	13.8313226138009	20.6239665105432
MT1E	2.22964516129032	-1.367025	7.93391440657781	8.00923017842903e-10	7.26744072919322e-08	12.3612131264539	20.281764813427
RUFY4	2.02438011212205	3.98025641025641	8.59629756511531	9.9553829728546e-11	1.34245574004785e-08	14.4047213455395	20.2477325250415
TRIM69	1.95333333333333	4.1485	8.86667138227856	4.30925490023237e-11	6.97309263772601e-09	15.2247334289863	20.2474677336203
SHISA5	1.94805376344086	3.904075	8.87199587473908	4.23913683018465e-11	6.97309263772601e-09	15.2407943353289	20.2066212301047
STAT2	2.08800358422939	3.834425	8.35700530696072	2.10318432495767e-10	2.43093054893024e-08	13.6719260607481	20.2058668068088
RNF213	2.30655555555555	2.732025	7.66765358483708	1.8745897960735e-09	1.5166993608398e-07	11.5273840950269	20.1295265758966
SAMD9L	2.19494623655914	5.85675	7.96067564616382	7.35579979561546e-10	6.8016628776791e-08	12.4446541967726	20.0472563271297
C2	1.72223655913978	-1.3446	9.76768952030298	2.81785805547188e-12	8.82534963244402e-10	17.8916744254913	19.8919715654373
CMKLR1	2.12039426523297	3.51475	8.11069355836029	4.57084210301089e-10	4.67140062927713e-08	12.9111020665648	19.8044904542598
TRIM6	3.10716662071501	-0.319564102564103	5.97731973313791	4.6099562912344e-07	1.53281046683544e-05	6.13401560984226	19.6879497778556
BRCA2	2.19833239011507	-0.694947368421053	7.76262198112265	1.3831219792876e-09	1.17795888569327e-07	11.8255265090053	19.4753333492501
APOBEC3H	1.77661979597463	4.6524358974359	9.29649272496339	1.15868809073011e-11	2.62181643485737e-09	16.5099605036407	19.4291735287803
TRIM5	2.0290752688172	2.8792	8.26709689326767	2.7900643909898e-10	3.04367810922696e-08	13.3949575048864	19.3865678820916
ZNF684	2.52870250896057	2.3583	6.85528132247557	2.59855959660164e-08	1.37865656412051e-06	8.94954796109368	19.1808844992018
